No.	Type	Module	Issue / Current Behavior	Requirement	Acceptance Criteria	Priority	Category	Jobscope
27	Enhancement	Sequence Import Template	Import structure is not currently supplied	Development must provide the accepted CSV/XLS/XLSX template/format	Admin has a valid reference/template showing the required import structure	Medium	Admin Tool	BE
28	Enhancement	Usage Report – Game Filter	Avatar is live but unavailable in Usage Report	Add Avatar to Game filter	Admin can select Avatar independently and report displays Avatar usage data	Medium	Reporting	FE + BE
29	Enhancement	Game Performance	Avatar is missing from Game Performance	Add Avatar to Game Performance reporting	Avatar appears alongside other games and its performance metrics are populated	Medium	Reporting	FE + BE
30	Enhancement	Cohort Retention	Avatar is missing from Cohort Retention	Add Avatar to Cohort Retention reporting	Avatar retention data is displayed in the same structure as other games	Medium	Reporting	FE + BE
31	Enhancement	Usage Report – Total Withdrawal	Existing card displays Tokens Consumed	Rename/replace Tokens Consumed with Total Withdrawal	Card displays total withdrawal amount for selected reporting period	High	Reporting	FE + BE
32	Enhancement	Usage Report – Avg. Session Duration	Metric currently unavailable	Add Avg. Session Duration based on selected game	Lucky Spin filter shows Lucky Spin duration, Penalty Kick shows Penalty Kick duration, etc.	High	Reporting	FE + BE
33	Calculation	Game Avg. Session Duration	Calculation required	Total time spent in selected game ÷ Total sessions for that game	Metric uses only records belonging to selected game and selected reporting period	High	Reporting Calculation	BE
34	Enhancement	Usage Report – Member Usage History	Existing section is Daily Activity History	Rename it to Member Usage History and replace current table structure	New member-based table follows selected date range	High	Reporting	FE + BE
35	Enhancement	Member Usage History – Columns	Current columns are daily aggregate data	Show: No., Phone Number, Username, Station, Tokens Used, Battle Point Used, Avg. Session Duration, Most Played Game, Total Rewards, Total Withdrawal	All ten columns are available and populated for each member	High	Reporting	FE + BE
36	Enhancement	Member Usage History – Sorting	Required metrics cannot be sorted	Add high-to-low sorting for Tokens Used, Battle Point Used, Avg. Session Duration, Total Rewards and Total Withdrawal	Selecting sorting orders the complete filtered dataset from highest to lowest	High	Reporting	FE + BE
37	Calculation	Member Avg. Session Duration	Member average usage time required	Calculate Member total time spent in MRS ÷ Member total MRS sessions within selected date range regardless of mini-game	Duration reflects all MRS sessions belonging to member for filtered period	High	Reporting Calculation	BE
38	Enhancement	Reward Report – Summary	Reward report has no required overall totals	Calculate filtered totals across all pages, not only current displayed page	Summary reflects every matching record after filters are applied	High	Reporting	BE + FE
39	Calculation	Reward Report – Date	Default calculation rules required	If date range selected, use that period. If no date selected, use current month	Totals change according to selected/default date range	High	Reporting Calculation	BE
40	Calculation	Reward Report – Filters	Other filters need to affect totals	All selected filters must also apply to summary calculation	Summary always matches currently filtered dataset	High	Reporting Calculation	BE
41	Calculation	Reward Report – Credit	Credit category needs total	Calculate and display Total Credit Amount	Credit total represents all filtered Credit reward records	High	Reporting Calculation	BE
42	Calculation	Reward Report – Prize	Physical prizes cannot be summed as monetary amount	Display Total Prizes Claimed as quantity	Prize total is a count of filtered prize claims	High	Reporting Calculation	BE
43	Enhancement	Reward Report – All Categories	No-category selection needs both totals	When no category is selected, display Total Credit Amount and Total Prizes Claimed separately	Both summary values appear simultaneously	High	Reporting	FE + BE
44	Enhancement	Member List	Member List shows Current Tokens but not Battle Points	Add Current Battle Points beside Current Tokens	Each member's latest/current Battle Point balance is displayed	Medium	Member Management	FE + BE
45	Enhancement	MRS Homepage – Banner	Special For You banner is located elsewhere	Move Special For You banner to Homepage	Banner is visible from MRS Homepage	Medium	Homepage	FE
46	UI Enhancement	MRS Homepage – Theme	Brand character artwork currently appears in MRS theme	Remove all brand character images from MRS theme	Character images no longer appear in MRS theme areas affected by new homepage design	Medium	UI/UX	FE
47	Enhancement	MRS Homepage – Module List	Homepage does not contain all modules in one scrollable list	Add horizontal left/right scrollable module list	List contains Lucky Spin, Penalty Kick, Avatar, Smash Egg, Leaderboard, Missions, VIP Membership, Daily Check-in and Mart	Medium	Homepage Navigation	FE
48	UI Enhancement	Avatar Theme	Current Avatar theme is outdated	Update Avatar UI to follow each of the 6 brand themes	Correct theme is displayed for applicable brand	Low	Avatar UI	FE
49	UI Enhancement	Avatar Theme	Avatar needs visual update without functional/layout change	Update only UI colors, buttons, icons and UI elements	Existing Avatar layout and functionality remain unchanged	Low	Avatar UI	FE
50	UI Constraint	Avatar Theme	Character background should not be redesigned	Keep current Avatar character background unchanged	Character/background assets remain as existing implementation	Low	Avatar UI	FE
51	UI Enhancement	Reward Display	Reward has yellow background and item appears too small	Remove yellow background and enlarge reward item image	Reward image is more prominent without changing card layout/design	Low	Mart / Reward UI	FE
52	UI Enhancement	Reward Display – All Brands	Change needs global coverage	Apply new reward display to all reward items and all 6 brands	No old yellow-background style remains for reward items under any brand	Low	Mart / Reward UI	FE
53	Enhancement	Reward Display – Preview	Member cannot enlarge reward item	Add magnifying-glass icon beside reward image; clicking icon or reward image opens larger preview	Both interaction methods display enlarged reward preview	Low	Mart / Reward UI	FE
54	UI Enhancement	MRS – Menu Icon	Current MRS menu/module icons are too small and not prominent enough on the member page	Enlarge the MRS menu icons for all 6 brands. The updated icon size should make each MRS entry point easier for members to notice and access. The enlarged icon should follow the respective brand theme and remain properly positioned	1. Menu icon is enlarged for all 6 brands.  2. Icon remains clearly visible on supported member pages.  3. Icon follows the corresponding brand design/theme.  4. Clicking the icon continues to redirect/open MRS correctly.  5. Existing MRS functions and navigation remain unchanged.  6. Display is responsive and properly positioned on supported screen sizes.	Medium	UI/UX / MRS Entry Point	FE
								
	Notes							
1	Please check on the slide, if you dont get me	[MRS] -  New Requirement & Enhancement						
